church,pastor,city,island
Big Island Baptist Church,Spencer Baker,Holualoa,Hawai'i
Brooks Davidson,Jimmie & Lori Davidson,Kailua-Kona,Hawai'i
Calvary Community Church,Kahu Kealoha & Taimane Kaopua,Kailua-Kona,Hawai'i
Christ Church Episcopal,Rev. Canon Dwight Brown,Kealakekua,Hawai'i
Cornerstone Christian Fellowship,Jeff Buchholz,Kailua-Kona,Hawai'i
Crosspoint,June & Len Guevarra,Kailua Kona,Hawai'i
Halelewa Baptist Church,Alan Stoker,Kailua-Kona,Hawai'i
Hawai'i Revival Ministries,Gary Genco,Kailua-Kona,Hawai'i
Hokuloa United Church of Christ (UCC),Rev. Dr. Gwendolyn Kehaunani Hill,Waikoloa Village,Hawai'i
Holoholo ministries,Paul & Doreen Chinen,Kailua-Kona,Hawai'i
Holy Rosary Catholic Mission Church,Konelio Faletoi,Kailua-Kona,Hawai'i
Hope Chapel Kailua Kona,Albert & Heather Moore,Kailua-Kona,Hawai'i
Kona Hispanic Seventh-Day Adventist Church,Jacob Moreno,Kailua-Kona,Hawai'i
iglesia bautista ebenezer,Brian Frable,Kailua-Kona,Hawai'i
Immaculate Conception Catholic Church,Konelio Faletoi,Holualoa,Hawai'i
Impact Community Church Kona,Danny & Shellese Guieb/Jacob & Uilani Kanda,Kailua-Kona,Hawai'i
King's Kona,Jakob & Leah Barrientos,Kailua-Kona,Hawai'i
Kona Baptist Church,Brian Frable,Kailua-Kona,Hawai'i
Kona Bible Church,Brian & Rebekah Keiser,Kailua-Kona,Hawai'i
Kona Church of God,Keith & Susan Elliot,Kailua-Kona,Hawai'i
Kona Church Of The Nazarene,Charles N. Brodhead,Kailua-Kona,Hawai'i
Kona Coast Fellowship,Bruce Pratt,Kailua-Kona,Hawai'i
Kona United Methodist Church,Pastor Sunny,Kailua-Kona,Hawai'i
Kosrae Kona Fellowship,Pastor Kevin,Kailua-Kona,Hawai'i
Lanakila Church,Kahu Pono Charlene Taketa & Sam Masilamoney,Kealakekua,Hawai'i
Living Hope Church Holualoa,Brent Williams,Holualoa,Hawai'i
Living Stones Church,Bill Barley & Ryan Burnes,Kailua-Kona,Hawai'i
Living Stones Church - Pines,Bill Barley & Ryan Burnes,Kailua-Kona,Hawai'i
Lutheran Church-Holy Trinity,Bryan Keiser,Kailua-Kona,Hawai'i
Moku'aikaua Church,David de Carvalho,Kailua-Kona,Hawai'i
New Hope Legacy,Trenton Johnson,Kailua-Kona,Hawai'i
New Hope Waikoloa,Rick & Lori Nagaoka,Waikoloa Village,Hawai'i
Pu'uanahulu Baptist Church,Nelson Nyman,Kailua-Kona,Hawai'i
Saint Peter's Catholic Church,Konelio Faletoi,Kailua-Kona,Hawai'i
Shorebreak Church,Leo Bilyk & Craig Powell,Kailua-Kona,Hawai'i
St. Juvenaly Orthodox Mission,George A. Gray,Kalaoa,Hawai'i
St. Michael The Archangel Church,Konelio Faletoi,Kailua-Kona,Hawai'i
Unity of Kona,Sophia Falke,Kailua-Kona,Hawai'i
Waikoloa Community Church,Gregg Scott,Waikoloa Village,Hawai'i
Waikoloa Family Ministries,Sam & Atsuki Masilamoney,Waikoloa Village,Hawai'i
Waikoloa Lutheran Church,Jeff Mueller,Waikoloa Village,Hawai'i
St. Michael's,Konelio Faletoi,Kailua-Kona,Hawai'i
West Hawai'i Church of the Sovereign Lord,Joshua & Faith Lee,Kailua-Kona,Hawai'i
Laupahoehoe Congreational Church,Alvira Cacabelos,Kailua Kona,Hawai'i
Aloha Chapel,Kris Kua,Hilo,Hawai'i
Arise Church,Evan & Shinobu Carmichael,Hilo,Hawai'i
Berean Bible Church,Daniel Costales,Hilo,Hawai'i
Calvary Chapel Hilo,Ron Brav,Hilo,Hawai'i
Central Christian Church,Kevin Hill,Hilo,Hawai'i
Christ Lutheran Church,Mark Zier,Hilo,Hawai'i
Church of the Holy Cross,Eric Anderson,Hilo,Hawai'i
Community of Christ,Judith Hara & Rosemary Kawamoto,Hilo,Hawai'i
Connect Point Church,Dion Maeda,Hilo,Hawai'i
Connection Point Church of the Nazarene,Jenica Lawrence,Keaau,Hawai'i
East Hawai'i Church of Christ,"Phillip Richard Cimei, Sr.",Hilo,Hawai'i
Encourage Fellowship,Kelvin K Chai,Keaau,Hawai'i
Engage Church,John Endriss,Hilo,Hawai'i
Episcopal Church of the Holy Apostles,Katlin McCallister,Hilo,Hawai'i
Family of Faith Church,James,Mountain View,Hawai'i
"First Assembly of God, H&#257;m&#257;kua",Klayton & Sharon Ko,Pepeekeo,Hawai'i
First United Protestant Church of Hilo,Rev. Christopher Czarnecki,Hilo,Hawai'i
Glad Tidings Church,Dan DeLuz Jr. ,Hilo,Hawai'i
Good Shepherd Roman Catholic Church,Stephen Macedo,Honomu,Hawai'i
Grassroots Church of Puna,Matt Purvis,P&#257;hoa,Hawai'i
Haili Church,Andrew Nisbet,Hilo,Hawai'i
Hilo Baptist Church,Curtis Marshall,Hilo,Hawai'i
Hilo Church of God,June & Len Guevarra,Hilo,Hawai'i
Hilo Church of the Nazarene,Rick Ragle,Hilo,Hawai'i
Hilo Coast United Church of Christ,Cara Ann Maeda,Honomu,Hawai'i
Hilo Korean Christian Church,Daniel Hyunsoo Lee,Kurtistown,Hawai'i
Hilo Seventh-day Adventist Church,Andre Weston,Hilo,Hawai'i
Hilo United Methodist Church,Ana Hungalu,Hilo,Hawai'i
HMC Ohana - Hilo Missionary Church,Daniel I. Kikawa,Hilo,Hawai'i
Holy Ascension Orthodox Church,Benjamin Huggins,Honomu,Hawai'i
Holy Rosary Mission - Keaau,Rev. Samuel Loterte,Keaau,Hawai'i
Immaculate Heart of Mary Church,Stephen Macedo,Papaikou,Hawai'i
Kinoole Baptist Church,Daniel Tomita,Hilo,Hawai'i
Kuhio Chapel,Andrew Nisbet,Hilo,Hawai'i
Kurtistown Assembly of God,Damien K Shrinski,Kurtistown,Hawai'i
Kurtistown Samoan Seventh-Day Adventist Church,Mark Tamaleaa,Kurtistown,Hawai'i
Living Waters Assembly of God,John Trusdell,Hilo,Hawai'i
Malia Puka O Kalani,"Constantino Atinaja, Jr",Hilo,Hawai'i
New Hope Christian Fellowship,Mike,P&#257;hoa,Hawai'i
New Hope H&#257;m&#257;kua,Kent Higa,Papaikou,Hawai'i
New Hope Hilo Hawai'i,Sheldon Lacsina,Hilo,Hawai'i
New Hope New Life Hawai'i,Scott Shiroma,Kea'au,Hawai'i
Ohana Church,Timothy Elisaga,Hilo,Hawai'i
Ola'a First Hawai'ian Church,Lani Kapuniai,Kurtistown,Hawai'i
Pacific Baptist Church,Brian Kroll,Keaau,Hawai'i
Puna Baptist Church,Alan Tamashiro,P&#257;hoa,Hawai'i
